cve_id,title,description,faq,severity,severity_value,cvss_base_score,cvss_temporal_score,cvss_vector,exploit_status,exploit_status_raw,impact_type,affected_products,affected_product_ids,affected_product_count,kb_articles,superceded_by,restart_required,acknowledged_researchers,release_date,patch_tuesday_title,parsed_timestamp
CVE-2025-47989,Arc Enabled Servers - Azure Connected Machine Agent Elevation of Privilege Vulnerability,,"<p><strong>According to the CVSS metric, the attack complexity is high (AC:H). What does that mean for this vulnerability?</strong></p>
<p>Successful exploitation of this vulnerability requires the attacker to invest in some measurable amount of effort in preparation or execution against the vulnerable component before a successful attack can be expected.</p>
",Important,3,7.0,6.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_unlikely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Unlikely,Elevation of Privilege,,,0,Release Notes; Release Notes,,No,"{'Value': 'Sharan Patil with <a href=""https://consulting.withsecure.com/"">WithSecure Consulting</a>'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907397
CVE-2025-0033,AMD CVE-2025-0033: RMP Corruption During SNP Initialization,,"<p><strong>When will an update be available to address this vulnerability?</strong></p>
<p>Updates to mitigate this vulnerability in Azure Confidential Computing's (ACC) AMD-based clusters are being developed but are not yet complete. Once complete, the updates with be deployed across all AMD-based infrastructure and customers will be notified via <a href=""http://https://docs.azure.cn/en-us/service-health/service-health-portal-update"">Azure Service Health Alerts </a> if they are required to reboot their ACC resources. The Security Updates table for this CVE will be updated immediately upon availability of the mitigated versions for any affected ACC product SKUs.</p>
<p>Additionally, customers who have <a href=""http://https://www.microsoft.com/en-us/msrc/technical-security-notifications?rtc=1"">subscribed</a> to the Security Update Guide will be notified when this CVE is revised to indicate updates are available. If you wish to be notified when these updates are released, we recommend that you register for the security notifications mailer to be alerted of content changes to this CVE.</p>
",Critical,4,8.2,7.1,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:Yes;Exploited:No;Latest Software Release:Exploitation Less Likely,Remote Code Execution,,,0,,,Unknown,"{'Value': 'Benedict Schlueter, Supraja Sridhara, and Shweta Shinde from ETH Zurich'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907457
CVE-2025-48004,Microsoft Brokering File System Elevation of Privilege Vulnerability,,"<p><strong>What privileges could be gained by an attacker who successfully exploited this vulnerability?</strong></p>
<p>An attacker who successfully exploited this vulnerability could gain SYSTEM privileges.</p>
",Important,3,7.4,6.4,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_more_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation More Likely,Elevation of Privilege,,,0,5066835; 5066793; 5066835; 5066793; 5066780,5065431; 5065426; 5065431; 5065425,Yes,"{'Value': 'hazard'}; {'Value': ' \nBryan Gonzalez, Ocelot Team @ Metabase Q '}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907513
CVE-2025-50174,Windows Device Association Broker Service Elevation of Privilege Vulnerability,,"<p><strong>What privileges could be gained by an attacker who successfully exploited the vulnerability?</strong></p>
<p>An attacker could use this vulnerability to elevate privileges from Medium Integrity Level to Local Service.</p>
",Important,3,7.0,6.1,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Elevation of Privilege,,,0,5066835; 5066835,5065426,Yes,"{'Value': '<a href=""https://linkedin.com/in/jongseongkim"">Jongseong Kim (nevul37)</a> with <a href=""https://www.enki.co.kr/"">Ajou University, and working at ENKI WhiteHat</a>'}; {'Value': '<a href=""https://linkedin.com/in/kdj-abysslab"">Dongjun Kim (smlijun)</a> with <a href=""https://www.enki.co.kr/"">Ajou University, and working at ENKI WhiteHat</a>'}; {'Value': 'Anonymous'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907525
CVE-2025-53782,Microsoft Exchange Server Elevation of Privilege Vulnerability,,"<p><strong>What privileges could be gained by an attacker who successfully exploited the vulnerability?</strong></p>
<p>The attacker would be able to take over the mailboxes of all Exchange users, read emails, download attachments.</p>
",Important,3,8.4,7.3,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Elevation of Privilege,,,0,5066367; 5066368; 5066366; 5066369,5063221; 5063222; 5063224; 5063223,Yes,"{'Value': '<a href=""https://github.com/zcgonvh"">zcgonvh&#39;s cat Vanilla</a>'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907540
CVE-2025-55315,ASP.NET Security Feature Bypass Vulnerability,,"<p><strong>This vulnerability is rated as an Important, Security Feature Bypass that is less likely to be exploited. Why is the CVSS score 9.9 out of 10?</strong></p>
<p>ASP.NET Core is a framework. CVSS scores applications. This mismatch makes scoring ASP.NET challenging. In situations like this, it is Microsoft's standard practice to score the worst possible case scenario for any application written using ASP.NET Core. &quot;Exploitation less likely&quot; refers to a more typical application which doesn't go outside the typical ASP.NET Core uses.</p>
<p>The vulnerability in ASP.NET Core allows HTTP request smuggling. This is a security feature bypass that can affect how your application enforces authentication, authorization, and other critical security checks. The vulnerability allows attackers to craft a request that hides another request inside it. Depending on how your app processes requests, this could lead to:</p>
<ul>
<li>Elevation of privilege (EOP) — impersonating another user</li>
<li>Server-side request forgery (SSRF) — making internal requests</li>
<li>Cross-site request forgery (CSRF) bypass</li>
<li>Injection attacks — bypassing input validation</li>
</ul>
<p>These are serious risks, especially for applications handling sensitive data or operating in regulated environments.</p>
<p>While not every app is vulnerable, the scoring reflects the worst-case scenario—a standard practice in CVSS to ensure customers take action.</p>
",Important,3,9.9,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:L/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Security Feature Bypass,,,0,5068331; 5068332; Release Notes; Release Notes; Release Notes; Release Notes,,Maybe,{'Value': 'Sid'},2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907553
CVE-2025-24990,Windows Agere Modem Driver Elevation of Privilege Vulnerability,,"<p><strong>Is the vulnerability only exploitable if the Agere Modem is actively being used?</strong></p>
<p>No. All supported versions of Windows can be affected by a successful exploitation of this vulnerability, even if the modem is not actively being used.</p>
",Important,3,7.8,7.2,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,exploitation_detected,Publicly Disclosed:No;Exploited:Yes;Latest Software Release:Exploitation Detected,Elevation of Privilege,,,0,5066835; 5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780; 5066837; 5066836; 5066874; 5066877; 5066872; 5066876; 5066875; 5066873,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425; 5065430; 5065427; 5065508; 5065468; 5065509; 5065507,Yes,"{'Value': '<a href=""https://x.com/shitsecure"">Fabian Mosch</a> with <a href=""https://www.r-tec.net/"">r-tec IT Security GmbH</a>\n<a href=""https://x.com/0xLegacyy"">Jordan Jay </a>\n'}; {'Value': 'Anonymous'}; {'Value': 'MSTIC'}; {'Value': 'MSTIC'}; {'Value': '<a href=""https://x.com/shitsecure"">Fabian Mosch</a> with <a href=""https://www.r-tec.net/"">r-tec IT Security GmbH</a>\n<a href=""https://x.com/0xLegacyy"">Jordan Jay </a>\n'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907609
CVE-2025-24052,Windows Agere Modem Driver Elevation of Privilege Vulnerability,,"<p><strong>Is the vulnerability only exploitable if the Agere Modem is actively being used?</strong></p>
<p>No. All supported versions of Windows can be affected by a successful exploitation of this vulnerability, even if the modem is not actively being used.</p>
",Important,3,7.8,7.0,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,exploitation_more_likely,Publicly Disclosed:Yes;Exploited:No;Latest Software Release:Exploitation More Likely,Elevation of Privilege,,,0,5066835; 5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780; 5066837; 5066836; 5066874; 5066877; 5066872; 5066876; 5066875; 5066873,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425; 5065430; 5065427; 5065508; 5065468; 5065509; 5065507,Yes,{'Value': 'Anonymous'},2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907674
CVE-2025-55320,Configuration Manager Elevation of Privilege Vulnerability,,"<p><strong>According to the CVSS score, the attack vector is adjacent (AV:A). What does this mean for this vulnerability?</strong></p>
<p>This attack is limited to systems connected to the same network segment as the attacker. The attack cannot be performed across multiple networks (for example, a WAN) and would be limited to systems on the same network switch or virtual network.</p>
",Important,3,6.8,5.9,CVSS:3.1/AV:A/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Elevation of Privilege,,,0,Release Notes; Release Notes; Release Notes,,Maybe,"{'Value': '<a href=""https://x.com/kalimer0x00"">Mehdi Elyassa</a> with <a href=""https://www.synacktiv.com/"">Synacktiv</a>'}; {'Value': '<a href=""https://x.com/kalimer0x00"">Mehdi Elyassa</a> with <a href=""https://www.synacktiv.com/"">Synacktiv</a>'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907725
CVE-2025-55325,Windows Storage Management Provider Information Disclosure Vulnerability,,"<p><strong>What type of information could be disclosed by this vulnerability?</strong></p>
<p>An attacker who successfully exploited this vulnerability could potentially read small portions of heap memory.</p>
",Important,3,5.5,4.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,exploitation_less_likely,Publicly Disclosed:No;Exploited:No;Latest Software Release:Exploitation Less Likely,Information Disclosure,,,0,5066835; 5066586; 5066782; 5066791; 5066793; 5066791; 5066835; 5066793; 5066780; 5066837; 5066836,5065428; 5065432; 5065429; 5065431; 5065429; 5065426; 5065431; 5065425; 5065430; 5065427,Yes,"{'Value': 'nerty_nerty(Ingyu Yang), Mukyoung Kwak, Seongheun Hong, Jaeseok Bae, Jiwon Jang, Seoyun Cho with Best of the Best 13th Team MSRC Gasan'}; {'Value': '<a href=""https://x.com/hpy_insu"">insu</a> with Theori'}; {'Value': 'Anonymous'}",2025-10-31T07:00:59,October 2025 Security Updates,2025-11-15T18:34:29.907748
